Tick,Population,Active%,Dormant%,Stress%,AverageFitness,AverageATP,AverageGrowth,AverageDosR,Generation,LivingLineages
100,1,0.0,0.0,100.0,16.312627245902696,0.0,0.0,0.0,0,1
200,1,0.0,0.0,100.0,16.312627245902696,0.0,0.0,0.0,0,1
300,8,0.0,0.0,100.0,12.114520505027716,0.12919175264327365,0.03896251689193833,0.7307988924584661,0,8
400,2,0.0,0.0,100.0,11.921022761164306,0.0,0.0,0.0,0,2
500,2,0.0,0.0,100.0,11.921022761164306,0.0,0.0,0.0,0,2
600,1,0.0,0.0,100.0,12.00349059603379,0.0,0.0,0.0,0,1
700,1,0.0,0.0,100.0,12.017560491457036,0.0,0.0,0.0,0,1
800,7,0.0,0.0,100.0,12.205362283694042,0.3463544541246256,0.7657560345657798,0.1763648546152066,0,7
900,1,0.0,0.0,100.0,11.901284408670666,0.0,0.0,0.0,0,1
1000,1,0.0,0.0,100.0,12.222686360056375,0.045000000000000005,0.11270083211190556,0.8124723784242125,0,1
1100,47,0.0,0.0,100.0,11.762727183028694,0.04543075840216149,0.05705046058227563,0.7121895305599675,0,47
1200,154,0.0,0.0,100.0,11.770346003278174,0.06320104441337786,0.05005739874611956,0.7031712902627363,0,154
1300,234,0.0,0.0,100.0,11.638613937247898,0.06982116789812437,0.049076801763785385,0.7075366867670495,0,234
1400,232,0.0,0.0,100.0,11.251692654898754,0.06604469767581081,0.03760697082915625,0.7167386805331115,0,232
1500,407,0.0,0.0,100.0,11.31913111405299,0.04821141443689067,0.043515208808006696,0.7127399311438979,0,407
1600,595,0.0,0.0,100.0,11.31240612826601,0.05197509184260321,0.051867572089427064,0.7157363422183461,0,595
1700,594,0.0,0.0,100.0,11.122689263963665,0.062178120729922175,0.05498481561229689,0.7144613184548566,0,594
1800,512,0.0,0.0,100.0,10.823215357521025,0.058453714633614345,0.0556316886916809,0.7144738477504247,0,512
1900,484,0.0,0.0,100.0,10.669504242669623,0.05978080341358129,0.058083952035918866,0.7140850243912861,0,484
2000,474,0.0,0.0,100.0,10.58660543277278,0.05954402512273065,0.05947393689282617,0.7075937672012005,0,474
2100,424,0.0,0.0,100.0,10.406353794374885,0.05915546184009351,0.06348150763967031,0.7091678965288761,0,424
2200,448,0.0,0.0,100.0,10.48870058165886,0.06792243558739308,0.07039548512934057,0.7101073843812153,0,448
2300,400,0.0,0.0,100.0,10.456801932840975,0.06270072939912329,0.07397085278743547,0.7048768960840109,0,400
2400,421,0.0,0.0,100.0,10.722375405587417,0.07084576081101664,0.08388660022494675,0.7065570595837878,0,421
2500,549,0.0,0.0,100.0,11.139581391244885,0.08719760905137014,0.12454017985834687,0.6749875851854816,0,549
2600,600,0.0,0.0,100.0,11.434884463938486,0.07786731970920654,0.09597595238624619,0.6952041616985722,0,600
2700,573,0.0,0.0,100.0,11.536041432021348,0.09256735044396865,0.1248975308814315,0.6728232271260394,0,573
2800,618,0.0,0.0,100.0,11.757508622821133,0.09176939470159567,0.09754846082867884,0.6964301253784448,0,618
2900,595,0.0,0.0,100.0,11.937518122027527,0.0885038919889264,0.1252726723605845,0.6699595941597288,0,595
3000,708,0.0,0.0,100.0,12.214274386171171,0.10003629274721963,0.1040124916544401,0.6877313894071204,0,708
3100,756,0.0,0.0,100.0,12.28532872021705,0.0860496588295837,0.10219519992867503,0.6905119294082648,0,756
3200,711,0.0,0.0,100.0,12.437858048807852,0.09938390884273157,0.12736072745040122,0.6741063368915532,0,711
3300,745,0.0,0.0,100.0,12.545212473083964,0.08800545074352571,0.10398024205428892,0.6861059604701643,0,745
3400,727,0.0,0.0,100.0,12.623535035849859,0.08504435412512568,0.10471341094288862,0.6869861337879078,0,727
3500,724,0.0,0.0,100.0,12.78597677015745,0.08612938362524077,0.1070708098982437,0.6876841265972921,0,724
3600,716,0.0,0.0,100.0,12.91035741512818,0.09530014951072,0.10869947613580488,0.6845478901542961,0,716
3700,756,0.0,0.0,100.0,13.062751197178189,0.11017025761862832,0.11181066104291726,0.6820819900085295,0,756
3800,732,0.0,0.0,100.0,13.252223986539335,0.09557744680217004,0.11166166118799752,0.6845698063001835,0,732
3900,734,0.0,0.0,100.0,13.40014078377586,0.08986783063917218,0.11113541734769472,0.6865226362275964,0,734
4000,667,0.0,0.0,100.0,13.862741508780166,0.09551218749491772,0.11349275484016674,0.6859513107626424,0,667
4100,625,0.0,0.0,100.0,13.95806356582989,0.09579901791967646,0.1112870389161457,0.6858602497361732,0,625
4200,579,0.0,0.0,100.0,14.175618739424449,0.09733767748139008,0.11306235309736543,0.682476631305051,0,579
4300,540,0.0,0.0,100.0,14.398026146465318,0.09899385637535871,0.11302493023799239,0.6820792263827045,0,540
4400,569,0.0,0.0,100.0,14.258855182575866,0.11301801751227615,0.11316926203431227,0.6851964336582103,0,569
4500,546,0.0,0.0,100.0,14.294297571982915,0.10410637461949811,0.11043700772232017,0.6862765831224948,0,546
4600,502,0.0,0.0,100.0,14.49028181803117,0.10631516752314808,0.11306827142567016,0.6824936817592197,0,502
4700,526,0.0,0.0,100.0,14.272683933460923,0.10393710640646787,0.10725628242962629,0.6857731157111102,0,526
4800,551,0.0,0.0,100.0,14.13705586465794,0.10667515338094866,0.09992259602340942,0.6921198241466769,0,551
4900,526,0.0,0.0,100.0,14.055991552027477,0.09608514862456796,0.09913763431905752,0.692511764137654,0,526
5000,517,0.0,0.0,100.0,13.857422862014854,0.0920615470852808,0.09475604311089197,0.6959966500659215,0,517
